Vivado Simulator 2020.2
Time resolution is 1 ps
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module SA4_CACHE_tb.SA4_CACHE_test.ram_ip_test.inst.\native_mem_module.blk_mem_gen_v8_4_4_inst  is using a behavioral model for simulation which will not precisely model memory collision behavior.
blk_mem_gen_v8_4_4 collision detected at time: 310000, Instance: SA4_CACHE_tb.SA4_CACHE_test.ram_ip_test.inst.\native_mem_module.blk_mem_gen_v8_4_4_inst , A write address: 14, B  read address: 14
blk_mem_gen_v8_4_4 collision detected at time: 320000, Instance: SA4_CACHE_tb.SA4_CACHE_test.ram_ip_test.inst.\native_mem_module.blk_mem_gen_v8_4_4_inst , A write address: 16, B  read address: 16
blk_mem_gen_v8_4_4 collision detected at time: 330000, Instance: SA4_CACHE_tb.SA4_CACHE_test.ram_ip_test.inst.\native_mem_module.blk_mem_gen_v8_4_4_inst , A write address: 18, B  read address: 18
blk_mem_gen_v8_4_4 collision detected at time: 340000, Instance: SA4_CACHE_tb.SA4_CACHE_test.ram_ip_test.inst.\native_mem_module.blk_mem_gen_v8_4_4_inst , A write address: 1a, B  read address: 1a
blk_mem_gen_v8_4_4 collision detected at time: 350000, Instance: SA4_CACHE_tb.SA4_CACHE_test.ram_ip_test.inst.\native_mem_module.blk_mem_gen_v8_4_4_inst , A write address: 1c, B  read address: 1c
blk_mem_gen_v8_4_4 collision detected at time: 360000, Instance: SA4_CACHE_tb.SA4_CACHE_test.ram_ip_test.inst.\native_mem_module.blk_mem_gen_v8_4_4_inst , A write address: 1e, B  read address: 1e
blk_mem_gen_v8_4_4 collision detected at time: 370000, Instance: SA4_CACHE_tb.SA4_CACHE_test.ram_ip_test.inst.\native_mem_module.blk_mem_gen_v8_4_4_inst , A write address: 20, B  read address: 20
blk_mem_gen_v8_4_4 collision detected at time: 380000, Instance: SA4_CACHE_tb.SA4_CACHE_test.ram_ip_test.inst.\native_mem_module.blk_mem_gen_v8_4_4_inst , A write address: 22, B  read address: 22
blk_mem_gen_v8_4_4 collision detected at time: 390000, Instance: SA4_CACHE_tb.SA4_CACHE_test.ram_ip_test.inst.\native_mem_module.blk_mem_gen_v8_4_4_inst , A write address: 24, B  read address: 24
blk_mem_gen_v8_4_4 collision detected at time: 400000, Instance: SA4_CACHE_tb.SA4_CACHE_test.ram_ip_test.inst.\native_mem_module.blk_mem_gen_v8_4_4_inst , A write address: 26, B  read address: 26
